"Date","Active_Staff_Count","Active_Students_Count","Active_Staff_Percent","Active_Students_Percent"
2021-08-13,2,8,0.025,0.0133333333333333
2021-08-14,2,8,0.025,0.0133333333333333
2021-08-15,2,8,0.025,0.0133333333333333
2021-08-16,3,37,0.0375,0.0616666666666667
2021-08-17,3,79,0.0375,0.131666666666667
2021-08-18,2,111,0.025,0.185
2021-08-19,2,137,0.025,0.228333333333333
2021-08-20,2,178,0.025,0.296666666666667
2021-08-21,2,178,0.025,0.296666666666667
2021-08-22,2,178,0.025,0.296666666666667
2021-08-23,2,219,0.025,0.365
2021-08-24,2,276,0.025,0.46
2021-08-25,67,534,0.8375,0.89
2021-08-26,64,648,0.8,1.08
2021-08-27,98,807,1.225,1.345
2021-08-28,98,807,1.225,1.345
2021-08-29,98,807,1.225,1.345
2021-08-30,107,816,1.3375,1.36
2021-08-31,95,596,1.1875,0.993333333333333
2021-09-01,140,750,1.75,1.25
2021-09-02,71,663,0.8875,1.105
2021-09-03,85,594,1.0625,0.99
2021-09-04,85,594,1.0625,0.99
2021-09-05,85,594,1.0625,0.99
2021-09-06,85,594,1.0625,0.99
2021-09-07,NA,NA,NA,NA
2021-09-08,54,277,0.675,0.461666666666667
2021-09-09,NA,NA,NA,NA
2021-09-10,90,395,1.125,0.658333333333333
2021-09-11,96,388,1.2,0.646666666666667
2021-09-12,96,388,1.2,0.646666666666667
2021-09-13,75,300,0.9375,0.5
2021-09-14,75,300,0.9375,0.5
2021-09-15,65,298,0.8125,0.496666666666667
2021-09-16,57,347,0.7125,0.578333333333333
2021-09-17,52,390,0.65,0.65
2021-09-18,50,392,0.625,0.653333333333333
2021-09-19,50,392,0.625,0.653333333333333
2021-09-20,50,392,0.625,0.653333333333333
2021-09-21,41,294,0.5125,0.49
2021-09-22,42,301,0.525,0.501666666666667
2021-09-23,33,312,0.4125,0.52
2021-09-24,33,326,0.4125,0.543333333333333
2021-09-25,33,297,0.4125,0.495
2021-09-26,33,297,0.4125,0.495
2021-09-27,20,194,0.25,0.323333333333333
2021-09-28,20,194,0.25,0.323333333333333
2021-09-29,37,221,0.4625,0.368333333333333
2021-09-30,40,229,0.5,0.381666666666667
2021-10-01,47,234,0.5875,0.39
2021-10-02,48,227,0.6,0.378333333333333
2021-10-03,48,227,0.6,0.378333333333333
2021-10-04,48,227,0.6,0.378333333333333
2021-10-05,NA,NA,NA,NA
